<<<<<<< HEAD:week2 - 1000Genomes/bren/population_summary.csv
"","Population","num_indiv","percent","super_pop","super_num_indiv","super_percent"
"1","ACB",123,0.0333243023570848,"AFR",1044,0.282850176104037
"2","ASW",112,0.0303440801950691,"AFR",1044,0.282850176104037
"3","BEB",144,0.0390138173936603,"SAS",661,0.179084259008399
"4","CDX",109,0.0295312923327012,"EAS",673,0.18233541045787
"5","CEU",184,0.0498509888918992,"EUR",670,0.181522622595503
"6","CHB",142,0.0384719588187483,"EAS",673,0.18233541045787
"7","CHD",108,0.0292603630452452,"EAS",108,0.0292603630452452
"8","CHS",171,0.0463289081549716,"EAS",673,0.18233541045787
"9","CLM",148,0.0400975345434842,"AMR",535,0.144947168788946
"10","ESN",173,0.0468707667298835,"AFR",1044,0.282850176104037
"11","FIN",105,0.0284475751828773,"EUR",670,0.181522622595503
"12","GBR",107,0.0289894337577892,"EUR",670,0.181522622595503
"13","GIH",113,0.0306150094825251,"SAS",661,0.179084259008399
"14","GWD",180,0.0487672717420753,"AFR",1044,0.282850176104037
"15","IBS",162,0.0438905445678678,"EUR",670,0.181522622595503
"16","ITU",118,0.0319696559198049,"SAS",661,0.179084259008399
"17","JPT",127,0.0344080195069087,"EAS",673,0.18233541045787
"18","KHV",124,0.0335952316445408,"EAS",673,0.18233541045787
"19","LWK",122,0.0330533730696288,"AFR",1044,0.282850176104037
"20","MSL",128,0.0346789487943647,"AFR",1044,0.282850176104037
"21","MXL",107,0.0289894337577892,"AMR",535,0.144947168788946
"22","PEL",130,0.0352208073692766,"AMR",535,0.144947168788946
"23","PJL",158,0.0428068274180439,"SAS",661,0.179084259008399
"24","PUR",150,0.0406393931183961,"AMR",535,0.144947168788946
"25","STU",128,0.0346789487943647,"SAS",661,0.179084259008399
"26","TSI",112,0.0303440801950691,"EUR",670,0.181522622595503
"27","YRI",206,0.0558114332159306,"AFR",1044,0.282850176104037
=======
"","Population","num_indiv","percent","super_pop","super_num_indiv","super_percent"
"1","ACB",123,0.0333243023570848,"AFR",1044,0.282850176104037
"2","ASW",112,0.0303440801950691,"AFR",1044,0.282850176104037
"3","BEB",144,0.0390138173936603,"SAS",661,0.179084259008399
"4","CDX",109,0.0295312923327012,"EAS",673,0.18233541045787
"5","CEU",184,0.0498509888918992,"EUR",670,0.181522622595503
"6","CHB",142,0.0384719588187483,"EAS",673,0.18233541045787
"7","CHD",108,0.0292603630452452,"EAS",108,0.0292603630452452
"8","CHS",171,0.0463289081549716,"EAS",673,0.18233541045787
"9","CLM",148,0.0400975345434842,"AMR",535,0.144947168788946
"10","ESN",173,0.0468707667298835,"AFR",1044,0.282850176104037
"11","FIN",105,0.0284475751828773,"EUR",670,0.181522622595503
"12","GBR",107,0.0289894337577892,"EUR",670,0.181522622595503
"13","GIH",113,0.0306150094825251,"SAS",661,0.179084259008399
"14","GWD",180,0.0487672717420753,"AFR",1044,0.282850176104037
"15","IBS",162,0.0438905445678678,"EUR",670,0.181522622595503
"16","ITU",118,0.0319696559198049,"SAS",661,0.179084259008399
"17","JPT",127,0.0344080195069087,"EAS",673,0.18233541045787
"18","KHV",124,0.0335952316445408,"EAS",673,0.18233541045787
"19","LWK",122,0.0330533730696288,"AFR",1044,0.282850176104037
"20","MSL",128,0.0346789487943647,"AFR",1044,0.282850176104037
"21","MXL",107,0.0289894337577892,"AMR",535,0.144947168788946
"22","PEL",130,0.0352208073692766,"AMR",535,0.144947168788946
"23","PJL",158,0.0428068274180439,"SAS",661,0.179084259008399
"24","PUR",150,0.0406393931183961,"AMR",535,0.144947168788946
"25","STU",128,0.0346789487943647,"SAS",661,0.179084259008399
"26","TSI",112,0.0303440801950691,"EUR",670,0.181522622595503
"27","YRI",206,0.0558114332159306,"AFR",1044,0.282850176104037
>>>>>>> origin/cyan-week3:population_summary.csv
